Row.names,RNAINO_R1.x,RNAINO_R2.x,RNAINO_R3.x,RNAINO_R4.x,RNAINO_R5.x,RNAISO_R1.x,RNAINO_R1.y,RNAINO_R2.y,RNAINO_R3.y,RNAINO_R4.y,RNAINO_R5.y,RNAISO_R1.y,logFC,logCPM,PValue,FDR
transcript:CTRG_05480-t43_1,11,5,6,23,17,112,1.071645649,0.509645292,0.721050802,1.306248479,1.110675189,7.64359239,3.2,1.23,8.15e-08,3.01e-05
transcript:CTRG_05483-t43_1,2206,2232,2098,7176,7211,12165,214.9136638,227.5056583,252.1274303,407.5495256,471.1222817,830.216977,1.65,8.64,0.000379,0.0201
transcript:CTRG_05490-t43_1,24,34,37,91,162,301,2.338135962,3.465587985,4.446479944,5.168200505,10.58408122,20.54215455,2.27,2.98,5.56e-05,0.00543
transcript:CTRG_05623-t43_1,3,0,4,44,39,213,0.292266995,0.0,0.480700535,2.498910134,2.548019552,14.53647481,4.03,1.88,0.00075,0.0308
transcript:CTRG_05714-t43_1,25,19,23,47,78,178,2.435558294,1.936652109,2.764028073,2.669290371,5.096039104,12.14785219,2.26,2.25,1.21e-05,0.00194
transcript:CTRG_05742-t43_1,403,414,439,1594,1792,2521,39.2611997,42.19863018,52.75688366,90.52869896,117.0782317,172.0490751,1.62,6.39,0.000231,0.015
transcript:CTRG_05766-t43_1,84,67,115,152,222,447,8.183475867,6.829246912,13.82014037,8.632598646,14.50411129,30.5061232,1.76,3.82,0.00056,0.0262
transcript:CTRG_05816-t43_1,8,8,7,26,15,48,0.779378654,0.815432467,0.841225935,1.476628716,0.98000752,3.27582531,1.93,0.637,0.0015,0.049
transcript:CTRG_05819-t43_1,308,276,478,547,1088,1830,30.00607818,28.13242012,57.44371387,31.06599644,71.08321211,124.8908399,1.75,5.85,0.000551,0.0262
transcript:CTRG_05820-t43_1,464,490,587,864,1180,2281,45.20396193,49.94523861,70.54280344,49.06950809,77.0939249,155.6699486,1.61,6.26,0.000165,0.0121
transcript:CTRG_05868-t43_1,1,0,0,1,2,21,0.097422332,0.0,0.0,0.056793412,0.130667669,1.433173573,4.58,-1.09,5.65e-06,0.00105
transcript:CTRG_05874-t43_1,1,0,0,3,4,22,0.097422332,0.0,0.0,0.170380236,0.261335339,1.501419934,3.84,-0.942,5.88e-05,0.00543
transcript:CTRG_05909-t43_1,465,459,500,1269,1550,1858,45.30138426,46.7854378,60.08756681,72.07084001,101.2674437,126.801738,1.2,6.22,0.00152,0.0491
transcript:CTRG_05910-t43_1,370,565,651,2422,4215,6817,36.04626275,57.58991799,78.23401199,137.5536442,275.3821131,465.2354404,2.36,7.41,0.000437,0.0224
transcript:CTRG_05937-t43_1,7,15,3,24,21,87,0.681956322,1.528935876,0.360525401,1.363041892,1.372010528,5.937433374,2.67,1.09,0.000144,0.0112
transcript:CTRG_05999-t43_1,48,46,53,250,191,372,4.676271924,4.688736686,6.369282082,14.19835304,12.47876242,25.38764615,1.86,3.5,0.000616,0.0272
transcript:CTRG_06031-t43_1,3045,3453,3082,6379,6945,20071,296.6510002,351.9610386,370.3797618,362.2851761,453.7434817,1369.772704,2.08,9.11,1.51e-05,0.00217
transcript:CTRG_06149-t43_1,1929,1928,1261,7844,6405,11451,187.9276779,196.5192246,151.5408435,445.4875249,418.463211,781.4890755,1.75,8.49,0.00118,0.0404
transcript:CTRG_06260-t43_1,0,0,0,0,1,21,0.0,0.0,0.0,0.0,0.065333835,1.433173573,6.09,-1.2,9.16e-07,0.000271
transcript:CTRG_06296-t43_1,0,0,2,0,0,21,0.0,0.0,0.240350267,0.0,0.0,1.433173573,5.15,-1.12,0.000352,0.0198
