Row.names	RNAINO_R1.x	RNAINO_R2.x	RNAINO_R3.x	RNAINO_R4.x	RNAINO_R5.x	RNAISO_R1.x	RNAINO_R1.y	RNAINO_R2.y	RNAINO_R3.y	RNAINO_R4.y	RNAINO_R5.y	RNAISO_R1.y	logFC	logCPM	PValue	FDR
transcript:CTRG_00989-t43_1	63	66	66	197	257	156	6.1376069	6.727317854	7.931558819	11.18830219	16.79079551	10.64643226	3.88E-01	3.27E+00	4.26E-01	7.26E-01
transcript:CTRG_00990-t43_1	582	624	821	1500	1802	373	56.69979708	63.60373244	98.66378471	85.19011822	117.7315701	25.45589251	-1.51E+00	6.17E+00	4.21E-03	8.82E-02
transcript:CTRG_00991-t43_1	5	8	17	50	78	26	0.487111659	0.815432467	2.042977272	2.839670607	5.096039104	1.774405376	1.81E-03	1.09E+00	8.99E-01	9.74E-01
transcript:CTRG_00992-t43_1	4	0	1	13	12	25	0.389689327	0	0.120175134	0.738314358	0.784006016	1.706159016	2.29E+00	-3.39E-01	2.15E-02	2.02E-01
transcript:CTRG_00993-t43_1	2909	2972	2638	7242	7332	6231	283.4015631	302.9331615	317.0220025	411.2978908	479.0276757	425.2430731	4.57E-01	8.51E+00	3.07E-01	6.42E-01
transcript:CTRG_00994-t43_1	628	775	798	1557	2210	1115	61.18122434	78.99502026	95.89975663	88.42734271	144.3877746	76.0946921	-7.45E-02	6.47E+00	9.23E-01	9.85E-01
transcript:CTRG_00995-t43_1	49362	44986	35854	31619	22344	22680	4808.96114	4585.380621	4308.759241	1795.750899	1459.819202	1547.827459	-1.10E+00	1.17E+01	4.56E-01	7.42E-01
transcript:CTRG_00996-t43_1	342	380	292	1389	1261	876	33.31843746	38.73304219	35.09113902	78.88604947	82.38596551	59.78381191	4.23E-01	5.71E+00	3.38E-01	6.63E-01
transcript:CTRG_00997-t43_1	3	4	3	26	15	4	0.292266995	0.407716234	0.360525401	1.476628716	0.98000752	0.272985443	-1.11E+00	-4.11E-01	5.48E-01	8.01E-01
transcript:CTRG_00998-t43_1	50	34	50	158	216	169	4.871116588	3.465587985	6.008756681	8.973359119	14.11210829	11.53363495	9.10E-01	2.99E+00	1.09E-01	4.14E-01
transcript:CTRG_00999-t43_1	154	163	243	110	254	110	15.00303909	16.61443652	29.20255747	6.247275336	16.594794	7.507099669	-1.04E+00	3.98E+00	3.67E-01	6.83E-01
transcript:CTRG_01000-t43_1	1409	1568	1691	1808	1987	743	137.2680654	159.8247636	203.216151	102.6824892	129.8183295	50.70704595	-1.41E+00	7.07E+00	7.24E-02	3.50E-01
transcript:CTRG_01001-t43_1	18791	18056	13255	48901	42449	40073	1830.663036	1840.431078	1592.921396	2777.254647	2773.355948	2734.836409	5.51E-01	1.11E+01	3.09E-01	6.44E-01
transcript:CTRG_01002-t43_1	51	66	47	395	440	301	4.968538919	6.727317854	5.64823128	22.4333978	28.74688725	20.54215455	9.48E-01	3.79E+00	1.97E-01	5.31E-01
transcript:CTRG_01003-t43_1	91	111	90	405	396	147	8.865432189	11.31412548	10.81576203	23.00133192	25.87219853	10.03221501	-3.95E-01	3.83E+00	5.68E-01	8.10E-01
transcript:CTRG_01004-t43_1	134	132	145	374	457	169	13.05459245	13.45463571	17.42539438	21.24073614	29.85756244	11.53363495	-4.77E-01	4.10E+00	3.70E-01	6.86E-01
transcript:CTRG_01005-t43_1	599	625	540	1354	1285	1515	58.35597672	63.7056615	64.89457216	76.89828005	83.95397754	103.3932363	7.62E-01	6.24E+00	4.74E-02	2.91E-01
transcript:CTRG_01006-t43_1	385	363	299	1752	1467	1805	37.50759772	37.0002482	35.93236495	99.50205808	95.84473545	123.1846809	1.30E+00	6.11E+00	1.02E-02	1.41E-01
transcript:CTRG_01007-t43_1	17176	15587	14133	59835	43288	20400	1673.32597	1588.768233	1698.435164	3398.233816	2828.171035	1392.225757	-4.48E-01	1.10E+01	5.65E-01	8.10E-01
transcript:CTRG_01008-t43_1	193	174	211	835	1006	589	18.80251003	17.73565616	25.3569532	47.42249914	65.72583767	40.19710641	5.09E-01	5.08E+00	3.18E-01	6.49E-01
transcript:CTRG_01009-t43_1	6	4	1	7	14	23	0.584533991	0.407716234	0.120175134	0.397553885	0.914673685	1.569666294	1.88E+00	-2.63E-01	2.22E-02	2.05E-01
transcript:CTRG_01010-t43_1	7	3	3	17	12	101	0.681956322	0.305787175	0.360525401	0.965488006	0.784006016	6.892882423	3.65E+00	9.59E-01	1.25E-08	7.37E-06
transcript:CTRG_01011-t43_1	93	111	154	310	530	104	9.060276853	11.31412548	18.50697058	17.60595777	34.62693237	7.097621505	-1.08E+00	3.94E+00	1.28E-01	4.46E-01
transcript:CTRG_01012-t43_1	708	613	699	829	757	240	68.97501088	62.4825128	84.0024184	47.08173867	49.45771284	16.37912655	-1.82E+00	5.83E+00	2.59E-02	2.21E-01
transcript:CTRG_01013-t43_1	530	588	523	1702	1803	1406	51.63383583	59.93428634	62.85159489	96.66238747	117.7969039	95.95438304	5.49E-01	6.30E+00	1.57E-01	4.88E-01
transcript:CTRG_01014-t43_1	252	283	292	873	1165	221	24.5504276	28.84592353	35.09113902	49.5806488	76.11391738	15.0824457	-1.23E+00	5.16E+00	2.25E-02	2.05E-01
transcript:CTRG_01015-t43_1	10	12	13	66	115	68	0.974223318	1.223148701	1.562276737	3.748365202	7.513390986	4.640752523	9.93E-01	1.67E+00	2.15E-01	5.54E-01
transcript:CTRG_01016-t43_1	1010	862	901	2643	2431	1193	98.39655507	87.86284834	108.2777954	150.1049883	158.8265521	81.41790823	-3.49E-01	6.80E+00	4.45E-01	7.38E-01
transcript:CTRG_01017-t43_1	6007	5684	4668	9043	8070	10168	585.2159468	579.3647679	560.9775238	513.582826	527.2440457	693.9289948	4.62E-01	9.22E+00	4.05E-01	7.10E-01
transcript:CTRG_01018-t43_1	224	201	172	440	485	158	21.82260231	20.48774074	20.67012298	24.98910134	31.68690981	10.78292498	-9.52E-01	4.42E+00	5.89E-02	3.23E-01
transcript:CTRG_01019-t43_1	72	81	70	322	436	138	7.014407886	8.25625373	8.412259354	18.28747871	28.48555191	9.417997766	-2.63E-01	3.63E+00	7.98E-01	9.33E-01
transcript:CTRG_01020-t43_1	1428	1382	1449	2551	2842	2502	139.1190897	140.8659587	174.1337686	144.8799944	185.6787581	170.7523943	2.95E-01	7.33E+00	4.84E-01	7.65E-01
transcript:CTRG_01021-t43_1	749	702	694	1863	1923	548	72.96932648	71.55419899	83.40154274	105.8061268	125.6369641	37.39900562	-1.08E+00	6.33E+00	1.62E-02	1.75E-01
transcript:CTRG_01022-t43_1	2	0	0	0	0	0	0.194844664	0	0	0	0	0	NA	NA	NA	NA
transcript:CTRG_01023-t43_1	1064	1248	1339	2053	2791	1299	103.657361	127.2074649	160.9145039	116.5968751	182.3467325	88.65202245	-4.51E-01	7.01E+00	4.11E-01	7.14E-01
transcript:CTRG_01024-t43_1	70	38	71	99	197	107	6.819563223	3.873304219	8.532434487	5.622547802	12.87076543	7.302360587	1.84E-01	2.90E+00	7.18E-01	8.98E-01
transcript:CTRG_01025-t43_1	1247	1222	1224	2009	2333	1293	121.4856477	124.5573094	147.0943636	114.097965	152.4238363	88.24254429	-4.17E-01	6.97E+00	4.59E-01	7.43E-01
transcript:CTRG_01026-t43_1	207	235	383	272	544	258	20.16642267	23.95332872	46.02707618	15.4478081	35.54160606	17.60756104	-5.13E-01	4.74E+00	5.68E-01	8.10E-01
transcript:CTRG_01027-t43_1	201	184	190	1355	1503	683	19.58188868	18.75494674	22.83327539	76.95507346	98.1967535	46.61226431	3.48E-01	5.42E+00	5.75E-01	8.14E-01
transcript:CTRG_01028-t43_1	564	496	444	1895	2277	1643	54.94619511	50.55681296	53.35775933	107.623516	148.7651415	112.1287705	7.20E-01	6.39E+00	1.23E-01	4.38E-01
transcript:CTRG_01029-t43_1	464	468	403	2887	2824	3247	45.20396193	47.70279933	48.43057885	163.9625809	184.5027491	221.595933	1.52E+00	6.82E+00	1.57E-02	1.72E-01
transcript:CTRG_01030-t43_1	217	259	167	1149	1117	1457	21.14064599	26.39962612	20.06924732	65.25563056	72.97789332	99.43494743	1.58E+00	5.62E+00	4.58E-03	9.30E-02
transcript:CTRG_01031-t43_1	144	121	93	520	484	263	14.02881577	12.33341607	11.17628743	29.53257432	31.62157598	17.94879284	1.36E-01	4.21E+00	7.51E-01	9.14E-01
transcript:CTRG_01032-t43_1	75	70	68	394	430	165	7.306674881	7.135034088	8.171909087	22.37660439	28.0935489	11.2606495	-4.87E-02	3.70E+00	1.00E+00	1.00E+00
transcript:CTRG_01033-t43_1	553	455	424	1969	1879	723	53.87454946	46.37772157	50.95425666	111.8262285	122.7622753	49.34211873	-3.71E-01	6.09E+00	5.32E-01	7.92E-01
transcript:CTRG_01034-t43_1	40	58	44	358	376	343	3.89689327	5.911885387	5.28770588	20.33204155	24.56552183	23.40850169	1.33E+00	3.71E+00	7.68E-02	3.57E-01
transcript:CTRG_01035-t43_1	214	269	245	1026	1060	560	20.84837899	27.41891671	29.44290774	58.27004086	69.25386474	38.21796195	1.86E-01	5.26E+00	6.62E-01	8.62E-01
transcript:CTRG_01036-t43_1	400	403	331	3112	2859	1441	38.9689327	41.07741053	39.77796923	176.7410986	186.7894333	98.34300566	3.91E-01	6.46E+00	5.48E-01	8.01E-01
transcript:CTRG_01037-t43_1	46	62	36	482	326	430	4.481427261	6.31960162	4.326304811	27.37442465	21.2988301	29.34593507	1.55E+00	3.89E+00	5.20E-02	3.02E-01
transcript:CTRG_01038-t43_1	76	96	61	353	240	166	7.404097213	9.785189606	7.330683151	20.04807449	15.68012032	11.32889586	1.60E-01	3.54E+00	7.20E-01	9.00E-01
transcript:CTRG_01039-t43_1	152	120	80	967	627	633	14.80819443	12.23148701	9.61401069	54.91922955	40.96431433	43.19994628	1.03E+00	4.79E+00	1.47E-01	4.71E-01
transcript:CTRG_01040-t43_1	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA
transcript:CTRG_01041-t43_1	24	31	12	152	103	68	2.338135962	3.15980081	1.442101604	8.632598646	6.72938497	4.640752523	3.47E-01	2.13E+00	5.97E-01	8.26E-01
transcript:CTRG_01042-t43_1	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA
transcript:CTRG_01043-t43_1	194	190	128	1584	1591	606	18.89993236	19.36652109	15.3824171	89.96076484	103.9461309	41.35729454	1.28E-01	5.42E+00	7.79E-01	9.24E-01
transcript:CTRG_01044-t43_1	1158	1109	849	1215	992	438	112.8150602	113.0393258	102.0286884	69.00399576	64.81116398	29.89190595	-1.54E+00	6.43E+00	7.98E-02	3.61E-01
transcript:CTRG_01045-t43_1	10053	9784	8362	4559	4610	2373	979.3867011	997.2739073	1004.904467	258.921166	301.1889778	161.9486138	-2.11E+00	9.40E+00	1.77E-01	5.10E-01
